Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Delta,Day,Cumulative delta
2023-06-27 12:00:00,1881.53,1886.88,1879.11,1884.41,14691.7442,2023-06-27 12:59:59.999,27652564.185967,16998,7396.3279,13923719.367384,0,-7295.416299999999,2023-06-27,-76270.7842
2023-06-27 13:00:00,1884.42,1884.98,1875.18,1880.39,9224.2237,2023-06-27 13:59:59.999,17330572.316225,17186,4277.2766,8036089.363,0,-4946.9471,2023-06-27,-81217.7313
2023-06-27 14:00:00,1880.38,1896.55,1873.55,1884.39,26396.8687,2023-06-27 14:59:59.999,49769790.926378,32100,13351.81,25179711.790303,0,-13045.0587,2023-06-27,-94262.79000000001
2023-06-27 15:00:00,1884.38,1884.6,1863.6,1871.6,24277.2019,2023-06-27 15:59:59.999,45481799.850263,29070,11047.3665,20699471.536582,0,-13229.8354,2023-06-27,-107492.6254
2023-06-27 16:00:00,1871.6,1910.0,1869.62,1909.06,43513.2286,2023-06-27 16:59:59.999,82506746.503657,42905,22976.5522,43559827.00289,0,-20536.676400000004,2023-06-27,-128029.3018
2023-06-27 17:00:00,1909.06,1912.53,1892.91,1901.72,61789.8686,2023-06-27 17:59:59.999,117525333.053574,45437,40743.4371,77480391.700608,0,-21046.4315,2023-06-27,-149075.7333
2023-06-27 18:00:00,1901.72,1902.2,1895.55,1897.41,8121.5346,2023-06-27 18:59:59.999,15425674.279121,11462,4454.2946,8459875.083098,0,-3667.24,2023-06-27,-152742.9733
2023-06-27 19:00:00,1897.4,1901.21,1893.82,1894.39,5951.4894,2023-06-27 19:59:59.999,11291501.027222,10363,2583.8755,4902395.940031,0,-3367.6139000000003,2023-06-27,-156110.5872
2023-06-27 20:00:00,1894.4,1896.78,1886.04,1892.58,8947.4685,2023-06-27 20:59:59.999,16918186.446637,15373,4192.5027,7926115.717047,0,-4754.965800000001,2023-06-27,-160865.553
2023-06-27 21:00:00,1892.58,1897.39,1888.82,1895.72,8609.1546,2023-06-27 21:59:59.999,16289806.358108,10808,4372.0504,8271898.185828,0,-4237.1042,2023-06-27,-165102.65720000002
2023-06-27 22:00:00,1895.72,1896.37,1886.0,1886.02,7897.3612,2023-06-27 22:59:59.999,14933507.59773,9595,4299.3337,8129226.563853,0,-3598.0275,2023-06-27,-168700.6847
2023-06-27 23:00:00,1886.03,1891.6,1885.13,1889.58,5870.9182,2023-06-27 23:59:59.999,11084445.164594,9012,3319.3986,6266324.364719,0,-2551.5196,2023-06-27,-171252.2043
2023-06-28 00:00:00,1889.58,1890.19,1864.0,1875.12,35898.7227,2023-06-28 00:59:59.999,67261961.904209,37162,18104.8375,33917837.495258,0,-17793.885199999997,2023-06-28,-17793.885199999997
2023-06-28 01:00:00,1875.12,1879.34,1867.14,1870.74,14673.9959,2023-06-28 01:59:59.999,27482402.266777,14450,5423.3247,10157993.95371,0,-9250.6712,2023-06-28,-27044.556399999998
2023-06-28 02:00:00,1870.74,1873.04,1853.7,1861.21,19799.5722,2023-06-28 02:59:59.999,36887370.101198,20563,8354.887,15560625.685843,0,-11444.685199999998,2023-06-28,-38489.241599999994
2023-06-28 03:00:00,1861.2,1867.64,1859.0,1866.46,12340.2542,2023-06-28 03:59:59.999,23010170.172784,12754,7162.4582,13357193.503449,0,-5177.795999999999,2023-06-28,-43667.037599999996
2023-06-28 04:00:00,1866.46,1868.84,1862.77,1867.73,7526.1421,2023-06-28 04:59:59.999,14042361.362078,10933,4082.6245,7617247.795889,0,-3443.5176,2023-06-28,-47110.555199999995
2023-06-28 05:00:00,1867.73,1870.0,1861.8,1867.63,6554.4863,2023-06-28 05:59:59.999,12232938.59625,10485,2511.9536,4687724.022047,0,-4042.5326999999997,2023-06-28,-51153.0879
2023-06-28 06:00:00,1867.63,1867.63,1860.08,1860.78,10422.3315,2023-06-28 06:59:59.999,19420584.833539,13947,4453.9792,8298737.072494,0,-5968.3523000000005,2023-06-28,-57121.4402
2023-06-28 07:00:00,1860.79,1864.25,1848.58,1851.0,28851.4295,2023-06-28 07:59:59.999,53525741.530313,31039,12238.1519,22703346.93396,0,-16613.277599999998,2023-06-28,-73734.71779999998
2023-06-28 08:00:00,1851.0,1857.96,1850.24,1857.6,11234.6401,2023-06-28 08:59:59.999,20829465.93454,16665,5235.225,9706945.151659,0,-5999.4151,2023-06-28,-79734.1329
2023-06-28 09:00:00,1857.6,1862.3,1855.5,1860.85,8574.5082,2023-06-28 09:59:59.999,15945836.089953,15222,4359.9958,8107391.745706,0,-4214.5124000000005,2023-06-28,-83948.64529999999
